Timestamp,1. Which age group are you in?,2. What is your gender?,4. How would you describe your style?,3. Where do you live?,"5. Do you prefer Eastern or Western clothing, or both?",6. Pick your wardrobe essentials (Choose all that apply):,7. Who inspires your fashion choices?,8. How often do you buy new clothes?,9. Where do you usually buy clothes?,10. When do you like to shop the most?,11. What do you do when you have a fashion emergency?,12. Do you prefer designer brands for special events? ,"13. If you could choose one store to get unlimited clothes from, which would it be?",14. Has your style changed over age? ,15. Do you find it easy to find clothes that suit both your style and age?,16. Does society expect you to dress differently as you age? ,17. What is your average spending on clothes?,18. How much of your income goes to buying clothes?,"19. On a scale from 1 to 10, how much do you follow seasonal fashion trends?"
9/28/2024 19:46,18-24 (The trendsetter years),Female ,Classic (Timeless and elegant),Punjab (where the real fashion shows happen!),Eastern (Shalwar Kameez all day),"Shalwar Kameez , Abayas, Accessories (Watches, handbags, jewelry )",Pinterest (It’s a mood board thing),Only when I have to (When my clothes are worn out),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan)",When the seasons change (Updating for summer or winter),Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),Thrift stores (A treasure hunt every time),no,"No, I struggle to find what I like","A little, but I still dress how I want",PKR 2000-5000,6-10% (Occasional updates to my wardrobe),4
9/28/2024 19:55,18-24 (The trendsetter years),Female ,Fusion (A mix of styles),Islamabad (Stylish and serene),Fusion  (A blend of both styles),"Kurtas, Jeans, Sneakers , Accessories (Watches, handbags, jewelry )","Instagram (Influencers and hashtags guide me), Pinterest (It’s a mood board thing), Friends and family (Let’s be real, my cousin’s wedding looks are unbeatable)",Every 3-6 months (I plan my shopping throughout the year),"Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc), Online stores (Daraz, Outfitters ,etc.)",Sale season (Taking advantage of discounts),Borrow something from a friend (When I need help),Sometimes (Only when I need to slay),Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","A little, but I still dress how I want","PKR 5000-10,000",6-10% (Occasional updates to my wardrobe),9
9/28/2024 21:36,18-24 (The trendsetter years),Female ,Fusion (A mix of styles),Punjab (where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez , Kurtas , Jeans , Dresses/Skirts , Blazers/Jackets , Abayas , Sneakers , Accessories (Watches, handbags, jewelry)","Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein), Pinterest (It’s a mood board thing), Celebrities (Mahira Khan or Fawad Khan, anyone?)",Every month (I enjoy regular shopping),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc), Boutiques (Unique and  custom styles), Tailor-made (Clothes made just for you)",Sale season (Taking advantage of discounts),"Nothing, I own my fashion fails",Sometimes (Only when I need to slay),Brands (I appreciate quality brands),maybe,"Sometimes, it can be difficult","No, people are accepting of my style choices","PKR 5000-10,000 ",11-20% (Occasional updates to my wardrobe),5
9/28/2024 22:26,18-24 (The trendsetter years),Female ,Other (I have my own unique style),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Dresses/Skirts, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)","Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein), Instagram (Influencers and hashtags guide me), Friends and family",Every month (I enjoy regular shopping),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Tailor-made (Clothes made just for you), Hand-me-downs (Old clothes from family)",Eid!  (For festive outfits),Use safety pins (For quick fixes),"No, I prefer custom-made or local market options (Support local artisans)","Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",yes,"Yes, it’s easy for me","Yes, but I choose to wear what I like",PKR 2000-5000,0-5% (Just the essentials),6
9/28/2024 22:44,18-24 (The trendsetter years),Male ,Fusion (A mix of styles),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Blazers/Jackets, Accessories  (Watches, handbags, jewelry)",Friends and family,Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Malls (Dolmen, Emporium, etc.)",Eid!  (For festive outfits),Layer my clothes (To cover any issues),"No, I prefer custom-made or local market options (Support local artisans)","Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",maybe,"No, I struggle to find what I like","Yes, but I choose to wear what I like","PKR 5000-10,000",11-20% (Occasional updates to my wardrobe),9
9/28/2024 22:47,18-24 (The trendsetter years),Female ,Trendy (Up-to-date with fashion),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Dresses/Skirts, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every month (I enjoy regular shopping),"Local markets (Affordable and convenient), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Boutiques (Unique and custom styles), Tailor-made (Clothes made just for you), Thrift stores (Landa Bazaar finds are the real gems)",Eid!  (For festive outfits),Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),"Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",yes,"Yes, it’s easy for me","Yes, but I choose to wear what I like","PKR 5000-10,000",21% or more (I invest significantly in my style),6
9/28/2024 22:47,18-24 (The trendsetter years),Female ,Traditional (Cultural and classic),Khyber Pakhtunkhwa (Style from the mountains),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Dresses/Skirts, Abayas, Sneakers, Accessories  (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters, etc)",When the seasons change (Updating for summer or winter),Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),no,"Yes, it’s easy for me","Yes, but I choose to wear what I like","PKR 5000-10,000",11-20% (Occasional updates to my wardrobe),5
9/28/2024 22:48,18-24 (The trendsetter years),Female ,Trendy (Up-to-date with fashion),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Dresses/Skirts, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)","Instagram (Influencers and hashtags guide me), Friends and family, Celebrities",Every 3-6 months (I plan my shopping throughout the year),Designer stores (Brands like Khaadi or Amir Adnan),When the seasons change (Updating for summer or winter),I accept my fashion mistakes (I’m comfortable with my style),"Yes, always!  (I appreciate high-quality brands)",Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","Yes, but I choose to wear what I like","PKR 5000-10,000",21% or more (I invest significantly in my style),4
9/28/2024 22:49,18-24 (The trendsetter years),Male ,Fusion (A mix of styles),Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Sneakers",Friends and family,Every month (I enjoy regular shopping),"Local markets (Affordable and convenient), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)",Eid!  (For festive outfits),Borrow something from a friend (When I need help),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Sometimes, it can be difficult","A little, but I still dress how I want",PKR 2000-5000,6-10% (Occasional updates to my wardrobe),1
9/28/2024 22:52,18-24 (The trendsetter years),Male ,Classic (Timeless and elegant),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Blazers/Jackets, Sneakers",Instagram (Influencers and hashtags guide me),Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc)",Wedding season (For special occasion shopping),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"No, I struggle to find what I like","No, people are accepting of my style choices","PKR 5000-10,000",11-20% (Occasional updates to my wardrobe),3
9/28/2024 22:57,18-24 (The trendsetter years),Male ,Traditional (Cultural and classic),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Sneakers, Accessories  (Watches, handbags, jewelry)",Friends and family,Once a year (I update my wardrobe for different seasons),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Tailor-made (Clothes made just for you), Hand-me-downs (Old clothes from family)",Sale season (Taking advantage of discounts),I accept my fashion mistakes (I’m comfortable with my style),"No, I prefer custom-made or local market options (Support local artisans)",Thrift stores (A treasure hunt every time),yes,"Sometimes, it can be difficult","No, people are accepting of my style choices",PKR 2000-5000,6-10% (Occasional updates to my wardrobe),7
9/28/2024 22:57,Under 18 (Rocking the teen trends),Female ,Fusion (A mix of styles),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Dresses/Skirts, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)","Instagram (Influencers and hashtags guide me), Pinterest (It’s a mood board thing)",Every month (I enjoy regular shopping),"Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Tailor-made (Clothes made just for you)",When the seasons change (Updating for summer or winter),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Sometimes, it can be difficult","Yes, but I choose to wear what I like","Over PKR 10,000",21% or more (I invest significantly in my style),1
9/28/2024 23:02,18-24 (The trendsetter years),Female ,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Blazers/Jackets, Accessories  (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc)",Sale season (Taking advantage of discounts),Borrow something from a friend (When I need help),Sometimes (Only when I feel it's necessary),"Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",maybe,"No, I struggle to find what I like","Yes, but I choose to wear what I like","PKR 5000-10,000",6-10% (Occasional updates to my wardrobe),8
9/28/2024 23:06,18-24 (The trendsetter years),Female,Sporty (Comfort and movement),Khyber Pakhtunkhwa (Style from the mountains),Fusion (A blend of both styles),"Shalwar Kameez, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every 3-6 months (I plan my shopping throughout the year),Designer stores (Brands like Khaadi or Amir Adnan),When the seasons change (Updating for summer or winter),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","A little, but I still dress how I want",PKR 2000-5000,0-5% (Just the essentials),1
9/28/2024 23:08,18-24 (The trendsetter years),Female ,Classic (Timeless and elegant),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)","Instagram (Influencers and hashtags guide me), Friends and family",Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Malls (Dolmen, Emporium, etc.), Tailor-made (Clothes made just for you), Hand-me-downs (Old clothes from family)",Wedding season (For special occasion shopping),Layer my clothes (To cover any issues),"No, I prefer custom-made or local market options (Support local artisans)",Thrift stores (A treasure hunt every time),yes,"Yes, it’s easy for me","No, people are accepting of my style choices",PKR 2000-5000,11-20% (Occasional updates to my wardrobe),8
9/28/2024 23:08,18-24 (The trendsetter years),Female ,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Eastern (Shalwar Kameez all day),"Shalwar Kameez, Kurtas, Dresses/Skirts, Abayas, Sneakers, Accessories  (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every month (I enjoy regular shopping),Designer stores (Brands like Khaadi or Amir Adnan),Wedding season (For special occasion shopping),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Thrift stores (A treasure hunt every time),maybe,"Sometimes, it can be difficult","A little, but I still dress how I want","PKR 5000-10,000",21% or more (I invest significantly in my style),7
9/28/2024 23:09,18-24 (The trendsetter years),Female ,Fusion (A mix of styles),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Jeans, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)","Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein), Pinterest (It’s a mood board thing), Friends and family",Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)",Sale season (Taking advantage of discounts),Layer my clothes (To cover any issues),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Sometimes, it can be difficult","A little, but I still dress how I want","PKR 5000-10,000",6-10% (Occasional updates to my wardrobe),10
9/28/2024 23:10,18-24 (The trendsetter years),Female ,Other (I have my own unique style),Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Dresses/Skirts, Blazers/Jackets, Sneakers, Accessories  (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every month (I enjoy regular shopping),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Malls (Dolmen, Emporium, etc.), Online stores (Daraz, Outfitters, etc), Thrift stores (Landa Bazaar finds are the real gems)",Sale season (Taking advantage of discounts),Layer my clothes (To cover any issues),Sometimes (Only when I feel it's necessary),Thrift stores (A treasure hunt every time),yes,"Sometimes, it can be difficult","No, people are accepting of my style choices","PKR 5000-10,000",11-20% (Occasional updates to my wardrobe),4
9/28/2024 23:12,18-24 (The trendsetter years),Female ,Classic (Timeless and elegant),Khyber Pakhtunkhwa (Style from the mountains),Eastern (Shalwar Kameez all day),"Accessories  (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every month (I enjoy regular shopping),Designer stores (Brands like Khaadi or Amir Adnan),Sale season (Taking advantage of discounts),I accept my fashion mistakes (I’m comfortable with my style),"Yes, always!  (I appreciate high-quality brands)",Brands (I appreciate quality brands),maybe,"Sometimes, it can be difficult","Yes, but I choose to wear what I like",PKR 2000-5000,0-5% (Just the essentials),5
9/28/2024 23:15,18-24 (The trendsetter years),Female ,Fusion (A mix of styles),Khyber Pakhtunkhwa (Style from the mountains),Eastern (Shalwar Kameez all day),Kurtas,Instagram (Influencers and hashtags guide me),Once a year (I update my wardrobe for different seasons),Designer stores (Brands like Khaadi or Amir Adnan),Sale season (Taking advantage of discounts),Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),"Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",maybe,"No, I struggle to find what I like","Yes, but I choose to wear what I like",PKR 2000-5000,6-10% (Occasional updates to my wardrobe),5
9/28/2024 23:15,18-24 (The trendsetter years),Female ,Other (I have my own unique style),Khyber Pakhtunkhwa (Style from the mountains),Fusion (A blend of both styles),Abayas,"Instagram (Influencers and hashtags guide me), Friends and family",Every month (I enjoy regular shopping),"Designer stores (Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters, etc)",When the seasons change (Updating for summer or winter),I accept my fashion mistakes (I’m comfortable with my style),"Yes, always!  (I appreciate high-quality brands)",Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","No, people are accepting of my style choices","Over PKR 10,000",6-10% (Occasional updates to my wardrobe),4
9/28/2024 23:22,18-24 (The trendsetter years),Female,"Casual (Relaxed, everyday wear)",Islamabad (Stylish and serene),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Sneakers, Accessories  (Watches, handbags, jewelry)",Pakistani Dramas (Because RUBAB and ADEEL slayed on Kabhi Tum Kabhi Mein),Every month (I enjoy regular shopping),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)",Eid!  (For festive outfits),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","Yes, but I choose to wear what I like",PKR 2000-5000,6-10% (Occasional updates to my wardrobe),3
9/28/2024 23:28,Under 18 (Rocking the teen trends),Male,"Casual (Relaxed, everyday wear)",Other (Overseas),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Blazers/Jackets",Friends and family,Only when I have to (When my clothes are worn out),"Local markets (Affordable and convenient), Hand-me-downs (Old clothes from family)",Eid!  (For festive outfits),I accept my fashion mistakes (I’m comfortable with my style),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","A little, but I still dress how I want",PKR 2000-5000,0-5% (Just the essentials),8
9/28/2024 23:30,18-24 (The trendsetter years),Female,Fusion (A mix of styles),Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Abayas, Sneakers, Accessories  (Watches, handbags, jewelry)",Friends and family,Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)",When the seasons change (Updating for summer or winter),Layer my clothes (To cover any issues),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","A little, but I still dress how I want",PKR 2000-5000,11-20% (Occasional updates to my wardrobe),8
9/28/2024 23:34,18-24 (The trendsetter years),Female,Formal (Dressed up for occasions),Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Jeans, Blazers/Jackets, Abayas, Sneakers, Accessories  (Watches, handbags, jewelry)","Pinterest (It’s a mood board thing), Celebrities",Only when I have to (When my clothes are worn out),"Local markets (Affordable and convenient), Designer stores (Brands like Khaadi or Amir Adnan), Thrift stores (Landa Bazaar finds are the real gems)",When the seasons change (Updating for summer or winter),Borrow something from a friend (When I need help),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),maybe,"Yes, it’s easy for me","No, people are accepting of my style choices","PKR 5000-10,000",6-10% (Occasional updates to my wardrobe),8
9/28/2024 23:36,18-24 (The trendsetter years),Male,"Casual (Relaxed, everyday wear)",Punjab (Where the real fashion shows happen!),Fusion (A blend of both styles),"Shalwar Kameez, Jeans, Sneakers","Instagram (Influencers and hashtags guide me), Friends and family",Every 3-6 months (I plan my shopping throughout the year),"Local markets (Affordable and convenient), Online stores (Daraz, Outfitters, etc), Tailor-made (Clothes made just for you)",When the seasons change (Updating for summer or winter),I accept my fashion mistakes (I’m comfortable with my style),"No, I prefer custom-made or local market options (Support local artisans)","Your friends and family closet (Because their stuff is my stuff, and my stuff is definitely my stuff!)",maybe,"Yes, it’s easy for me","Yes, but I choose to wear what I like",Under PKR 2000,11-20% (Occasional updates to my wardrobe),1
9/28/2024 23:47,18-24 (The trendsetter years),Female,Trendy (Up-to-date with fashion),Azad Kashmir (Peace and fashion combined),Fusion (A blend of both styles),"Shalwar Kameez, Kurtas, Blazers/Jackets, Accessories  (Watches, handbags, jewelry)",Celebrities,Every month (I enjoy regular shopping),Designer stores (Brands like Khaadi or Amir Adnan),When the seasons change (Updating for summer or winter),I accept my fashion mistakes (I’m comfortable with my style),"Yes, always!  (I appreciate high-quality brands)",Brands (I appreciate quality brands),yes,"Yes, it’s easy for me","A little, but I still dress how I want","Over PKR 10,000",11-20% (Occasional updates to my wardrobe),7
9/28/2024 23:54,18-24 (The trendsetter years),Female,Sporty (Comfort and movement),Punjab (Where the real fashion shows happen!),Eastern (Shalwar Kameez all day),"Shalwar Kameez, Kurtas, Blazers/Jackets, Abayas, Sneakers, Accessories  (Watches, handbags, jewelry)",Instagram (Influencers and hashtags guide me),Every 3-6 months (I plan my shopping throughout the year),Designer stores (Brands like Khaadi or Amir Adnan),Sale season (Taking advantage of discounts),Use safety pins (For quick fixes),Sometimes (Only when I feel it's necessary),Brands (I appreciate quality brands),yes,"No, I struggle to find what I like","A little, but I still dress how I want",PKR 2000-5000,6-10% (Occasional updates to my wardrobe),6
